04:25:30 INFO  manager.ApplicationManager - Tests start on Chrome
04:25:32 INFO  tests.TestBase - Method searchPositiveTest is started
04:25:32 INFO  manager.WdListener - Start searching element ---> By.cssSelector: h1
04:25:32 INFO  manager.WdListener - Element with locator ---> By.cssSelector: h1 is found
04:25:32 INFO  manager.WdListener - Start searching element ---> By.id: city
04:25:32 INFO  manager.WdListener - Element with locator ---> By.id: city is found
04:25:32 INFO  manager.WdListener - Start searching element ---> By.cssSelector: div.pac-item
04:25:33 INFO  manager.WdListener - Element with locator ---> By.cssSelector: div.pac-item is found
04:25:34 INFO  manager.WdListener - Start searching element ---> By.id: dates
04:25:34 INFO  manager.WdListener - Element with locator ---> By.id: dates is found
04:25:34 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 26 ']
04:25:34 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 26 '] is found
04:25:34 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
04:25:34 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
04:25:35 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
04:25:35 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
04:25:36 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
04:25:36 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
04:25:37 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
04:25:37 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
04:25:38 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
04:25:38 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
04:25:39 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
04:25:39 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
04:25:40 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
04:25:40 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
04:25:41 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
04:25:41 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
04:25:42 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 23 ']
04:25:42 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 23 '] is found
04:25:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:25:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:25:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[@class='car-card']
04:25:47 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[@class='car-card'] is found
04:25:47 INFO  tests.TestBase - ================================================================
