15:01:05 INFO  manager.ApplicationManager - Tests start on Chrome
15:01:08 INFO  tests.TestBase - Method registrationNegativeNameBlank is started
15:01:08 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
15:01:13 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
15:01:13 INFO  manager.TestNgListener - Test registrationNegativeNameBlank started
15:01:13 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
15:01:13 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
15:01:13 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
15:01:13 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
15:01:13 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
15:01:13 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
15:01:13 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
15:01:13 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
15:01:13 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
15:01:13 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
15:01:13 INFO  manager.WdListener - Start searching element ---> By.cssSelector: div.checkbox-container
15:01:14 INFO  manager.WdListener - Element with locator ---> By.cssSelector: div.checkbox-container is found
15:01:14 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
15:01:14 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
15:01:14 INFO  manager.WdListener - Start searching element ---> By.xpath: //h1[contains(text(),'failed')]
15:01:15 INFO  manager.WdListener - Element with locator ---> By.xpath: //h1[contains(text(),'failed')] is found
15:01:15 INFO  manager.TestNgListener - Test registrationNegativeNameBlank successful
15:01:15 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
15:01:15 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
15:01:15 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
15:01:15 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
15:01:15 INFO  tests.TestBase - ================================================================
