03:03:25 INFO  manager.ApplicationManager - Tests start on Chrome
03:03:27 INFO  tests.TestBase - Method registrationNegativeLastNameBlank is started
03:03:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
03:03:32 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
03:03:32 INFO  manager.TestNgListener - Test registrationNegativeLastNameBlank started
03:03:32 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
03:03:32 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
03:03:32 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
03:03:32 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
03:03:32 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
03:03:32 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
03:03:33 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
03:03:33 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
03:03:33 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
03:03:33 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
03:03:33 INFO  manager.WdListener - Start searching element ---> By.cssSelector: label[for='terms-of-use']
03:03:33 INFO  manager.WdListener - Element with locator ---> By.cssSelector: label[for='terms-of-use'] is found
03:03:33 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
03:03:33 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
03:03:33 INFO  manager.WdListener - Start searching element ---> By.xpath: //h1[contains(text(),'failed')]
03:03:34 INFO  manager.WdListener - Element with locator ---> By.xpath: //h1[contains(text(),'failed')] is found
03:03:34 INFO  manager.TestNgListener - Test registrationNegativeLastNameBlank successful
03:03:34 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
03:03:34 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
03:03:34 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
03:03:34 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
03:03:34 INFO  manager.WdListener - Start searching element ---> By.cssSelector: label[for='terms-of-use']
03:03:34 INFO  manager.WdListener - Element with locator ---> By.cssSelector: label[for='terms-of-use'] is found
03:03:34 INFO  tests.TestBase - ================================================================
