16:37:43 INFO  manager.ApplicationManager - Tests start on Chrome
16:37:45 INFO  tests.TestBase - Method searchPositiveTest is started
16:37:45 INFO  manager.WdListener - Start searching element ---> By.cssSelector: h2
16:37:45 INFO  manager.WdListener - Element with locator ---> By.cssSelector: h2 is found
16:37:45 INFO  manager.WdListener - Start searching element ---> By.id: city
16:37:45 INFO  manager.WdListener - Element with locator ---> By.id: city is found
16:37:45 INFO  manager.WdListener - Start searching element ---> By.cssSelector: div.pac-item
16:37:45 INFO  manager.WdListener - Element with locator ---> By.cssSelector: div.pac-item is found
16:37:45 INFO  manager.WdListener - Start searching element ---> By.id: dates
16:37:45 INFO  manager.WdListener - Element with locator ---> By.id: dates is found
16:37:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 26 ']
16:37:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 26 '] is found
16:37:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
16:37:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
16:37:46 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
16:37:46 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
16:37:48 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
16:37:48 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
16:37:49 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
16:37:49 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
16:37:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
16:37:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
16:37:51 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
16:37:51 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
16:37:52 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
16:37:52 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
16:37:53 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
16:37:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
16:37:54 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 23 ']
16:37:54 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 23 '] is found
16:37:57 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
16:37:57 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
16:37:57 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[@class='car-card']
16:37:59 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[@class='car-card'] is found
16:37:59 INFO  tests.TestBase - ================================================================
