22:35:30 INFO  manager.ApplicationManager - Tests start on Chrome
22:35:32 INFO  tests.TestBase - Method registrationNegativeWrongPassword is started
22:35:32 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
22:35:37 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
22:35:37 INFO  manager.TestNgListener - Test registrationNegativeWrongPassword started
22:35:37 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
22:35:37 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
22:35:37 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
22:35:37 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
22:35:37 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
22:35:37 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
22:35:37 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
22:35:37 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
22:35:37 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
22:35:37 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
22:35:38 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
22:35:38 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
22:35:38 INFO  manager.TestNgListener - Test registrationNegativeWrongPassword successful
22:35:38 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
22:35:43 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
22:35:43 INFO  tests.TestBase - ================================================================
