20:31:56 INFO  manager.ApplicationManager - Tests start on Chrome
20:31:57 INFO  tests.TestBase - Method searchPositiveTest is started
20:31:57 INFO  manager.WdListener - Start searching element ---> By.id: city
20:31:57 INFO  manager.WdListener - Element with locator ---> By.id: city is found
20:31:57 INFO  manager.WdListener - Start searching element ---> By.cssSelector: div.pac-item
20:31:58 INFO  manager.WdListener - Element with locator ---> By.cssSelector: div.pac-item is found
20:31:58 INFO  manager.WdListener - Start searching element ---> By.id: dates
20:31:58 INFO  manager.WdListener - Element with locator ---> By.id: dates is found
20:31:59 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 17 ']
20:31:59 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 17 '] is found
20:32:00 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 23 ']
20:32:00 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 23 '] is found
20:32:03 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
20:32:03 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
20:32:03 INFO  tests.TestBase - ================================================================
