02:24:41 INFO  manager.ApplicationManager - Tests start on Chrome
02:24:43 INFO  tests.TestBase - Method searchPositiveTest is started
02:24:43 INFO  manager.WdListener - Start searching element ---> By.cssSelector: h1
02:24:43 INFO  manager.WdListener - Element with locator ---> By.cssSelector: h1 is found
02:24:43 INFO  manager.WdListener - Start searching element ---> By.id: city
02:24:44 INFO  manager.WdListener - Element with locator ---> By.id: city is found
02:24:44 INFO  manager.WdListener - Start searching element ---> By.cssSelector: div.pac-item
02:24:45 INFO  manager.WdListener - Element with locator ---> By.cssSelector: div.pac-item is found
02:24:45 INFO  manager.WdListener - Start searching element ---> By.id: dates
02:24:45 INFO  manager.WdListener - Element with locator ---> By.id: dates is found
02:24:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 26 ']
02:24:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 26 '] is found
02:24:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
02:24:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
02:24:46 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
02:24:46 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
02:24:47 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
02:24:47 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
02:24:48 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
02:24:48 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
02:24:49 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
02:24:49 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
02:24:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
02:24:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
02:24:51 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
02:24:52 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
02:24:53 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@aria-label='Next month']
02:24:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@aria-label='Next month'] is found
02:24:54 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 23 ']
02:24:54 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 23 '] is found
02:24:57 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
02:24:57 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
02:24:57 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[@class='car-card']
02:25:09 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[@class='car-card'] is found
02:25:09 INFO  tests.TestBase - ================================================================
