01:59:17 INFO  manager.ApplicationManager - Tests start on Chrome
01:59:20 INFO  tests.TestBase - Method registrationNegativeLastNameBlank is started
01:59:20 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
01:59:25 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
01:59:25 INFO  manager.TestNgListener - Test registrationNegativeLastNameBlank started
01:59:25 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
01:59:25 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
01:59:25 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
01:59:25 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
01:59:25 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
01:59:25 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
01:59:26 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
01:59:26 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
01:59:26 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
01:59:26 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
01:59:26 INFO  manager.WdListener - Start searching element ---> By.cssSelector: label[for='terms-of-use']
01:59:26 INFO  manager.WdListener - Element with locator ---> By.cssSelector: label[for='terms-of-use'] is found
01:59:26 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
01:59:26 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
01:59:26 INFO  manager.WdListener - Start searching element ---> By.xpath: //h1[contains(text(),'failed')]
01:59:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //h1[contains(text(),'failed')] is found
01:59:27 INFO  manager.TestNgListener - Test registrationNegativeLastNameBlank successful
01:59:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
01:59:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
01:59:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
01:59:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
01:59:27 INFO  tests.TestBase - ================================================================
01:59:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[@class='ng-dirty ng-touched ng-valid']
01:59:32 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[@class='ng-dirty ng-touched ng-valid'] is found
