04:19:49 INFO  manager.ApplicationManager - Tests start on Chrome
04:19:57 INFO  tests.TestBase - Method addNewCarPositive is started
04:19:57 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:20:02 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:20:02 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Log in ']
04:20:02 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Log in '] is found
04:20:02 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
04:20:02 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
04:20:02 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
04:20:02 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
04:20:02 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:20:02 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:20:02 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:20:03 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:20:03 INFO  manager.TestNgListener - Test addNewCarPositive started
04:20:08 INFO  manager.WdListener - Start searching element ---> By.xpath: //*[.=' Let the car work ']
04:20:08 INFO  manager.WdListener - Element with locator ---> By.xpath: //*[.=' Let the car work '] is found
04:20:08 INFO  manager.WdListener - Start searching element ---> By.cssSelector: h2
04:20:08 INFO  manager.WdListener - Element with locator ---> By.cssSelector: h2 is found
04:20:08 INFO  manager.WdListener - Start searching element ---> By.id: pickUpPlace
04:20:08 INFO  manager.WdListener - Element with locator ---> By.id: pickUpPlace is found
04:20:08 INFO  manager.WdListener - Start searching element ---> By.cssSelector: div.pac-item
04:20:09 INFO  manager.WdListener - Element with locator ---> By.cssSelector: div.pac-item is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.id: make
04:20:10 INFO  manager.WdListener - Element with locator ---> By.id: make is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.id: model
04:20:10 INFO  manager.WdListener - Element with locator ---> By.id: model is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.id: year
04:20:10 INFO  manager.WdListener - Element with locator ---> By.id: year is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.id: fuel
04:20:10 INFO  manager.WdListener - Element with locator ---> By.id: fuel is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.xpath: .//option[@value = "Petrol"]
04:20:10 INFO  manager.WdListener - Element with locator ---> By.xpath: .//option[@value = "Petrol"] is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.id: seats
04:20:10 INFO  manager.WdListener - Element with locator ---> By.id: seats is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.id: class
04:20:10 INFO  manager.WdListener - Element with locator ---> By.id: class is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.cssSelector: #serialNumber
04:20:10 INFO  manager.WdListener - Element with locator ---> By.cssSelector: #serialNumber is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.id: price
04:20:10 INFO  manager.WdListener - Element with locator ---> By.id: price is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.id: about
04:20:10 INFO  manager.WdListener - Element with locator ---> By.id: about is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:20:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:20:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //h1[.='Car added']
04:20:11 INFO  manager.WdListener - Element with locator ---> By.xpath: //h1[.='Car added'] is found
04:20:11 INFO  manager.TestNgListener - Test addNewCarPositive successful
04:20:11 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='button']
04:20:11 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='button'] is found
04:20:11 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:20:11 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:20:11 INFO  tests.TestBase - ================================================================
04:20:11 INFO  tests.TestBase - Method loginPositiveTest is started
04:20:11 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:20:16 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:20:16 INFO  manager.TestNgListener - Test loginPositiveTest started
04:20:16 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Log in ']
04:20:16 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Log in '] is found
04:20:16 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
04:20:16 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
04:20:16 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
04:20:16 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
04:20:16 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:20:16 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:20:21 INFO  manager.WdListener - Start searching element ---> By.xpath: //h2[.='Logged in success']
04:20:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //h2[.='Logged in success'] is found
04:20:22 INFO  manager.TestNgListener - Test loginPositiveTest successful
04:20:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:20:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:20:22 INFO  tests.TestBase - ================================================================
04:20:22 INFO  tests.TestBase - Method loginPositiveTestProps is started
04:20:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:20:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:20:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:20:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:20:22 INFO  manager.TestNgListener - Test loginPositiveTestProps started
04:20:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Log in ']
04:20:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Log in '] is found
04:20:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
04:20:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
04:20:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
04:20:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
04:20:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:20:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:20:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //h2[.='Logged in success']
04:20:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //h2[.='Logged in success'] is found
04:20:27 INFO  manager.TestNgListener - Test loginPositiveTestProps successful
04:20:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:20:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:20:27 INFO  tests.TestBase - ================================================================
04:20:27 INFO  tests.TestBase - Method loginPositiveTestThree is started
04:20:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:20:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:20:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:20:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:20:27 INFO  manager.TestNgListener - Test loginPositiveTestThree started
04:20:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Log in ']
04:20:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Log in '] is found
04:20:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
04:20:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
04:20:27 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
04:20:27 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
