15:48:10 INFO  manager.ApplicationManager - Tests start on Chrome
15:48:40 INFO  tests.TestBase - Method loginPositiveTest is started
15:48:40 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
15:48:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
15:48:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Log in ']
15:48:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Log in '] is found
15:48:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
15:48:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
15:48:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
15:48:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
15:48:45 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
15:48:45 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
15:48:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //h2[.='Logged in success']
15:48:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //h2[.='Logged in success'] is found
15:48:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
15:48:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
15:48:50 INFO  tests.TestBase - ================================================================
15:48:50 INFO  tests.TestBase - Method loginPositiveTestProps is started
15:48:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
15:48:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
15:48:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
15:48:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
15:48:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Log in ']
15:48:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Log in '] is found
15:48:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
15:48:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
15:48:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
15:48:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
15:48:50 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
15:48:50 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
15:48:56 INFO  manager.WdListener - Start searching element ---> By.xpath: //h2[.='Logged in success']
15:48:56 INFO  manager.WdListener - Element with locator ---> By.xpath: //h2[.='Logged in success'] is found
15:48:56 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
15:48:56 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
15:48:56 INFO  tests.TestBase - ================================================================
15:48:56 INFO  tests.TestBase - Method loginPositiveTestThree is started
15:48:56 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
15:48:56 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
15:48:56 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
15:48:56 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
15:48:56 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Log in ']
15:48:56 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Log in '] is found
15:48:56 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
15:48:56 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
15:48:56 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
15:48:56 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
15:48:56 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
15:48:56 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
15:49:01 INFO  manager.WdListener - Start searching element ---> By.xpath: //h2[.='Logged in success']
15:49:01 INFO  manager.WdListener - Element with locator ---> By.xpath: //h2[.='Logged in success'] is found
15:49:01 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
15:49:01 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
15:49:01 INFO  tests.TestBase - ================================================================
15:49:01 INFO  tests.TestBase - Method loginPositiveTestThreeDTO is started
15:49:01 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
15:49:01 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
15:49:01 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
15:49:01 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
15:49:01 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Log in ']
15:49:01 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Log in '] is found
15:49:01 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
15:49:01 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
15:49:01 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
15:49:01 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
15:49:01 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
15:49:01 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
15:49:06 INFO  manager.WdListener - Start searching element ---> By.xpath: //h2[.='Logged in success']
