22:33:02 INFO  manager.ApplicationManager - Tests start on Chrome
22:33:05 INFO  tests.TestBase - Method registrationNegativeWrongPassword is started
22:33:05 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
22:33:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
22:33:10 INFO  manager.TestNgListener - Test registrationNegativeWrongPassword started
22:33:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
22:33:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
22:33:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
22:33:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
22:33:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
22:33:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
22:33:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
22:33:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
22:33:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
22:33:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
22:33:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
22:33:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
22:33:10 INFO  manager.TestNgListener - Test registrationNegativeWrongPassword successful
22:33:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
22:33:16 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
22:33:16 INFO  tests.TestBase - ================================================================
